work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2023,Machine Learning Engineer,Machine Learning and AI,USD,319000,319000,United States,Senior,Full-time,Remote,United States,M
2023,ML Engineer,Machine Learning and AI,USD,331640,331640,United States,Senior,Full-time,In-person,United States,M
2023,ML Engineer,Machine Learning and AI,USD,336300,336300,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,323300,323300,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,324000,324000,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,370000,370000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,333500,333500,United States,Senior,Full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,354200,354200,United States,Senior,Full-time,Remote,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,328400,328400,United States,Senior,Full-time,Remote,United States,M
2023,Data Scientist,Data Science and Research,USD,329700,329700,United States,Senior,Full-time,In-person,United States,M
2023,Data Architect,Data Architecture and Modeling,USD,310000,310000,United States,Senior,Full-time,Remote,United States,M
2023,AI Engineer,Machine Learning and AI,USD,372000,372000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,324000,324000,United States,Senior,Full-time,In-person,United States,M
2023,Research Engineer,Data Science and Research,USD,370000,370000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,309000,309000,United States,Senior,Full-time,In-person,United States,M
2023,ML Engineer,Machine Learning and AI,USD,324000,324000,United States,Senior,Full-time,In-person,United States,M
2023,Machine Learning Engineer,Machine Learning and AI,USD,331640,331640,United States,Senior,Full-time,In-person,United States,M
2023,Analytics Engineer,Leadership and Management,GBP,300000,369120,United Kingdom,Mid-level,Full-time,In-person,United Kingdom,M
2023,Data Scientist,Data Science and Research,USD,316000,316000,United States,Senior,Full-time,In-person,United States,M
2023,Research Scientist,Data Science and Research,USD,405000,405000,United States,Mid-level,Full-time,In-person,United States,L
2023,Director of Data Science,Data Science and Research,USD,353200,353200,United States,Executive,Full-time,In-person,United States,M
2023,AI Engineer,Machine Learning and AI,USD,350000,350000,United States,Senior,Full-time,In-person,United States,M
